"Date","Close"
1996-01-16,995.869995
1996-01-17,998.299988
1996-01-18,1007.23999
1996-01-19,1018.450012
1996-01-22,1029.439941
1996-01-23,1028.040039
1996-01-24,1043.459961
1996-01-25,1035.949951
1996-01-26,1040.959961
1996-01-29,1042.51001
1996-01-30,1051.300049
1996-01-31,1059.790039
1996-02-01,1069.459961
1996-02-02,1072.109985
1996-02-05,1083.339966
1996-02-06,1089.079956
1996-02-07,1084.880005
1996-02-08,1093.170044
1996-02-09,1094.599976
1996-02-12,1095.380005
1996-02-13,1087.219971
1996-02-14,1088.030029
1996-02-15,1090.540039
1996-02-16,1090.709961
1996-02-20,1083.23999
1996-02-21,1096.849976
1996-02-22,1117.109985
1996-02-23,1117.790039
1996-02-26,1113.050049
1996-02-27,1106.170044
1996-02-28,1107.550049
1996-02-29,1100.050049
1996-03-01,1086.079956
1996-03-04,1084.880005
1996-03-05,1096.810059
1996-03-06,1091.819946
1996-03-07,1093.119995
1996-03-08,1063.72998
1996-03-11,1080.5
1996-03-12,1073.050049
1996-03-13,1088.640015
1996-03-14,1091.069946
1996-03-15,1099.589966
1996-03-18,1114.420044
1996-03-19,1112.5
1996-03-20,1101.819946
1996-03-21,1099.790039
1996-03-22,1102.219971
1996-03-25,1087.089966
1996-03-26,1088.349976
1996-03-27,1093.880005
1996-03-28,1094.829956
1996-03-29,1101.400024
1996-04-01,1106.569946
1996-04-02,1111.290039
1996-04-03,1115.849976
1996-04-04,1118.209961
1996-04-08,1105.660034
1996-04-09,1109.150024
1996-04-10,1105.280029
1996-04-11,1097.140015
1996-04-12,1100.939941
1996-04-15,1110.439941
1996-04-16,1124.920044
1996-04-17,1120.869995
1996-04-18,1136.300049
1996-04-19,1138.699951
1996-04-22,1153.5
1996-04-23,1166.76001
1996-04-24,1176.829956
1996-04-25,1184.170044
1996-04-26,1186.890015
1996-04-29,1188.199951
1996-04-30,1190.52002
1996-05-01,1199.660034
1996-05-02,1178.329956
1996-05-03,1184.599976
1996-05-06,1186.310059
1996-05-07,1182.670044
1996-05-08,1183.430054
1996-05-09,1187.819946
1996-05-10,1202.76001
1996-05-13,1221.869995
1996-05-14,1234.48999
1996-05-15,1233.560059
1996-05-16,1239.310059
1996-05-17,1241.880005
1996-05-20,1248.109985
1996-05-21,1244.420044
1996-05-22,1247.380005
1996-05-23,1248.650024
1996-05-24,1247.800049
1996-05-28,1236.300049
1996-05-29,1225.630005
1996-05-30,1233.47998
1996-05-31,1243.430054
1996-06-03,1238.72998
1996-06-04,1243.680054
1996-06-05,1249.150024
1996-06-06,1232.52002
1996-06-07,1229.76001
1996-06-10,1230.040039
1996-06-11,1230.76001
1996-06-12,1235.469971
1996-06-13,1225.650024
1996-06-14,1213.180054
1996-06-17,1207.640015
1996-06-18,1183.079956
1996-06-19,1179.27002
1996-06-20,1167.339966
1996-06-21,1175.439941
1996-06-24,1182.900024
1996-06-25,1172.579956
1996-06-26,1153.290039
1996-06-27,1166.01001
1996-06-28,1185.02002
1996-07-01,1197.449951
1996-07-02,1191.150024
1996-07-03,1181.599976
1996-07-05,1158.349976
1996-07-08,1148.819946
1996-07-09,1153.589966
1996-07-10,1141.189941
1996-07-11,1106.359985
1996-07-12,1103.48999
1996-07-15,1060.189941
1996-07-16,1053.469971
1996-07-17,1086.650024
1996-07-18,1109.819946
1996-07-19,1097.680054
1996-07-22,1081.390015
1996-07-23,1049.069946
1996-07-24,1042.369995
1996-07-25,1062.390015
1996-07-26,1079.439941
1996-07-29,1066.469971
1996-07-30,1071.949951
1996-07-31,1080.589966
1996-08-01,1098.849976
1996-08-02,1124.920044
1996-08-05,1120.530029
1996-08-06,1128.869995
1996-08-07,1141.109985
1996-08-08,1137.51001
1996-08-09,1137.27002
1996-08-12,1138.27002
1996-08-13,1126.150024
1996-08-14,1133.51001
1996-08-15,1134.689941
1996-08-16,1133.650024
1996-08-19,1130.910034
1996-08-20,1124.670044
1996-08-21,1126.839966
1996-08-22,1143.959961
1996-08-23,1143.050049
1996-08-26,1139.219971
1996-08-27,1149.02002
1996-08-28,1153.880005
1996-08-29,1145.030029
1996-08-30,1141.5
1996-09-03,1142.290039
1996-09-04,1143.819946
1996-09-05,1125.660034
1996-09-06,1139.390015
1996-09-09,1148.709961
1996-09-10,1149.430054
1996-09-11,1153.949951
1996-09-12,1165.810059
1996-09-13,1188.670044
1996-09-16,1193.959961
1996-09-17,1203.310059
1996-09-18,1205.709961
1996-09-19,1212.089966
1996-09-20,1219.689941
1996-09-23,1211.469971
1996-09-24,1215.27002
1996-09-25,1224.660034
1996-09-26,1227.97998
1996-09-27,1230.050049
1996-09-30,1226.920044
1996-10-01,1221.51001
1996-10-02,1236.109985
1996-10-03,1233.089966
1996-10-04,1247.560059
1996-10-07,1250.869995
1996-10-08,1240.150024
1996-10-09,1237.97998
1996-10-10,1236.969971
1996-10-11,1248.27002
1996-10-14,1256.359985
1996-10-15,1258.099976
1996-10-16,1250.98999
1996-10-17,1241.959961
1996-10-18,1242.47998
1996-10-21,1236.410034
1996-10-22,1220
1996-10-23,1227.880005
1996-10-24,1227
1996-10-25,1222.599976
1996-10-28,1215.890015
1996-10-29,1203.050049
1996-10-30,1206.22998
1996-10-31,1221.51001
1996-11-01,1221.780029
1996-11-04,1220.47998
1996-11-05,1229.069946
1996-11-06,1245.48999
1996-11-07,1254.140015
1996-11-08,1257.51001
1996-11-11,1262.670044
1996-11-12,1256.530029
1996-11-13,1260.719971
1996-11-14,1270.359985
1996-11-15,1261.800049
1996-11-18,1254.569946
1996-11-19,1262.619995
1996-11-20,1264.939941
1996-11-21,1258.079956
1996-11-22,1274.359985
1996-11-25,1280.369995
1996-11-26,1281.199951
1996-11-27,1287.319946
1996-11-29,1292.609985
1996-12-02,1299.819946
1996-12-03,1300.369995
1996-12-04,1297.02002
1996-12-05,1300.119995
1996-12-06,1287.680054
1996-12-09,1316.27002
1996-12-10,1312.550049
1996-12-11,1309.119995
1996-12-12,1298.329956
1996-12-13,1284.910034
1996-12-16,1260.97998
1996-12-17,1266.319946
1996-12-18,1285.380005
1996-12-19,1295.859985
1996-12-20,1288.560059
1996-12-23,1279.52002
1996-12-24,1287.630005
1996-12-26,1294.569946
1996-12-27,1291.380005
1996-12-30,1287.75
1996-12-31,1291.030029
1997-01-02,1280.699951
1997-01-03,1310.680054
1997-01-06,1316.400024
1997-01-07,1327.72998
1997-01-08,1320.349976
1997-01-09,1326.199951
1997-01-10,1332.02002
1997-01-13,1330.910034
1997-01-14,1346.359985
1997-01-15,1333.530029
1997-01-16,1340.459961
